"This document lists all organisations (Highway Authorities, Promoters and Contractors) which have been onboarded to Street Manager. It was last updated on the 12th June.",,,,,
Organisation_name,Org_type,In Production,In Sandbox,,
ABOVENET COMMUNICATIONS UK LTD,PROMOTER,Yes,Yes,,
AFFINITY WATER - C,PROMOTER,Yes,Yes,,
AFFINITY WATER - EAST,PROMOTER,Yes,Yes,,
AFFINITY WATER - SOUTH EAST,PROMOTER,Yes,Yes,,
AIRBAND COMMUNITY INTERNET LTD,PROMOTER,Yes,Yes,,
ANGLIAN WATER,PROMOTER,Yes,Yes,,
ARQIVA LTD,PROMOTER,Yes,Yes,,
BOX BROADBAND LTD,PROMOTER,Yes,Yes,,
BRISTOL WATERWORKS COMPANY,PROMOTER,Yes,Yes,,
BROADBAND FOR THE RURAL NORTH LTD,PROMOTER,Yes,Yes,,
BT,PROMOTER,Yes,Yes,,
CADENT GAS LIMITED (formerly National Grid Gas Distribution Ltd),PROMOTER,Yes,Yes,,
CALL FLOW SOLUTIONS LTD,PROMOTER,Yes,Yes,,
CAMBRIDGE WATER COMPANY,PROMOTER,Yes,Yes,,
CENTRO (WEST MIDLANDS PASSENGER TRANSPORT EXECUTIVE),PROMOTER,Yes,Yes,,
CITYFIBRE METRO NETWORKS LTD,PROMOTER,Yes,Yes,,
CITY OF LONDON TELECOMMS,PROMOTER,Yes,Yes,,
COMMUNITY FIBRE LIMITED,PROMOTER,Yes,Yes,,
CONCEPT SOLUTIONS PEOPLE LTD,PROMOTER,Yes,Yes,,
COUNTY BROADBAND LTD,PROMOTER,Yes,Yes,,
DFT ROAD STATISTICS DIVISION,PROMOTER,Yes,Yes,,
ELGIN,PROMOTER,Yes,Yes,,
ENERGY ASSETS NETWORKS LIMITED (FORMERLY UTILITY DISTRIBUTION NE,PROMOTER,Yes,Yes,,
ENERGY ASSETS PIPELINES LTD,PROMOTER,Yes,Yes,,
ESP ELECTRICITY,PROMOTER,Yes,Yes,,
E S PIPELINES LTD,PROMOTER,Yes,Yes,,
ESSEX AND SUFFOLK WATER,PROMOTER,Yes,Yes,,
EUNETWORKS,PROMOTER,Yes,Yes,,
FIBREWAVE NETWORKS LTD,PROMOTER,Yes,Yes,,
FULCRUM ELECTRICAL ASSETS LIMITED,PROMOTER,Yes,Yes,,
FULCRUM PIPELINES LIMITED,PROMOTER,Yes,Yes,,
G2 ENERGY IDNO LTD,PROMOTER,Yes,Yes,,
GAMMA TELECOM LTD,PROMOTER,Yes,Yes,,
GAS TRANSPORTATION CO LTD,PROMOTER,Yes,Yes,,
GIGACLEAR LIMITED,PROMOTER,Yes,Yes,,
GLIDE BUSINESS LTD (Formely WARWICKNET LTD),PROMOTER,Yes,Yes,,
G. NETWORK COMMUNICATIONS LTD,PROMOTER,Yes,Yes,,
HARLAXTON ENERGY NETWORKS LIMITED,PROMOTER,Yes,Yes,,
HARLAXTON GAS NETWORKS LIMITED,PROMOTER,Yes,Yes,,
HARTLEPOOL WATER,PROMOTER,Yes,Yes,,
HS2 LTD,PROMOTER,Yes,Yes,,
HYPEROPTIC LTD,PROMOTER,Yes,Yes,,
ICOSA WATER,PROMOTER,Yes,Yes,,
INDEPENDENT FIBRE NETWORKS,PROMOTER,Yes,Yes,,
INDIGO PIPELINES (Formerly SSE PIPELINES LTD),PROMOTER,Yes,Yes,,
Internetty.uk,PROMOTER,Yes,Yes,,
INTEROUTE (FORMERLY I-21 HOLDINGS LTD),PROMOTER,Yes,Yes,,
IPM COMMS,PROMOTER,Yes,Yes,,
ITS TECHNOLOGY GROUP LIMITED,PROMOTER,Yes,Yes,,
IX WIRELESS LIMITED,PROMOTER,Yes,Yes,,
